Hotel_Name,Address,Rate,Reviews,Airport,City,Starting_Price
Eastparc Hotel,"Jl. Laksda Adisucipto Km 6.5, Seturan, Depok, Yogyakarta, 55281, Indonesia",Superb 9.2,45,3.1 km,4.9 km,Rp851.240
Yogyakarta Marriott Hotel,"Jalan Ringroad Utara, Condong Catur, Depok, 55283, Indonesia",Exceptional 9.4,127,5.1 km,5.2 km,Rp940.000
Grand Aston Yogyakarta,"Jl. Urip Sumoharjo No 37, Yogyakarta, Yogyakarta, 55222, Indonesia",Superb 9.0,194,6.5 km,1.9 km,Rp540.728
Jambuluwuk Malioboro Hotel Yogyakarta,"Jl. Gajah Mada No.67, Yogyakarta, Yogyakarta, 55112, Indonesia",Good 7.6,37,7.2 km,0.9 km,Rp388.914
The Phoenix Hotel Yogyakarta - MGallery Collection,"Jl Jenderal Sudirman 9, Yogyakarta, Yogyakarta, 55233, Indonesia",Fabulous 8.6,306,7.6 km,1.4 km,Rp661.942
Melia Purosani Hotel,"Jl. Suryotomo No. 31, Yogyakarta, Yogyakarta, 55122, Indonesia",Fabulous 8.8,221,7.6 km,0.4 km,Rp661.156
Plataran Borobudur Resort & Spa,"Dusun Tanjungan Borobudur, Borobudur, Central Java, 56553, Indonesia",Superb 9.2,42,33 km,28 km,Rp3.040.000
Plataran Heritage Borobudur Hotel,"Dusun Kretek, Borobudur, Central Java, 56553, Indonesia",Exceptional 9.6,97,34 km,29 km,Rp1.618.516
Royal Ambarrukmo Yogyakarta,"Jl.Adi Sucipto No. 81, Yogyakarta, Yogyakarta, 55281, Indonesia",Fabulous 8.6,53,3.9 km,4.2 km,
